Sample Name,Location,Site,Species,Date Collected,Sample Type,Latitude,Longitude,Tissue N (% dry mass),C:N,Tissue ?15N (‰)
MauiPT3,Keahamoe Bay,MPT0,Ulva spp.,7/25/2012,Shore-collected,21.25646400,-157.79948800,0.5,44.8,5.5
MPT1U4,Keahamoe Bay,MPT1,Ulva spp.,6/28/2013,Shore-collected,21.25646400,-157.79948800,1.5,18.6,8.8
MPT1U5,Keahamoe Bay,MPT1,Ulva spp.,6/28/2013,Shore-collected,21.25646400,-157.79948800,2.1,15.0,9
MPT1U2,Keahamoe Bay,MPT1,Ulva spp.,6/28/2013,Shore-collected,21.25646400,-157.79948800,1.3,21.2,8.3
MPT2U1,Keahamoe Bay,MPT2,Ulva spp.,7/11/2013,Shore-collected,21.25646400,-157.79948800,1.8,16.1,9
MPT2U2,Keahamoe Bay,MPT2,Ulva spp.,7/11/2013,Shore-collected,21.25646400,-157.79948800,1.9,15.3,9.2
MPT2U3,Keahamoe Bay,MPT2,Ulva spp.,7/11/2013,Shore-collected,21.25646400,-157.79948800,1.4,19.3,8.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,"WGS84 is the datum for latitude and longitude
",,,,
